IOR REF	Folio	Date	Author/Officer	Subject	Recipient	Doc Type	Language(s)	Description	QDL Link
IOR/R/15/5/19	8r	5 February 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Salim	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Kuwait news: Shaikh Jabir ill with fever; refuses European doctors; Ajman tribe movements.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	9r	5 February 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Jabir	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Shaikh Jabir worsens; Othman al Rashid cargo stopped; Shereef Ali interview details.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	9r	5 February 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Salim	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Shaikh Jabir worsens; Othman al Rashid cargo stopped; Shereef Ali interview details.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	31r	5 February 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Jabir	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Brief note: Shaikh Salim orders bazaar to stay open; Shaikh Jabir to be buried tomorrow.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	31r	5 Feb 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Salim	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Brief note: Shaikh Salim orders bazaar to stay open; Shaikh Jabir to be buried tomorrow.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	32r	5 Feb 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Jabir	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Telegram confirming Shaikh Salim succeeds with British approval; funeral fixed.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	32r	5 Feb 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Salim	Political Residency, Bushire / Political Officer, Basra	Ruler Death	EN	Telegram confirming Shaikh Salim succeeds with British approval; funeral fixed.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	38r	5 Feb 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Jabir	Percy Z. Cox (Political Resident/Chief Political Officer, Basrah)	Ruler Death	EN	Political Agent's letter to Cox detailing Shaikh Salim's succession and his assurances of loyalty.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/5/19	38r	5 Feb 1917	Robert Hamilton (Political Agent, Kuwait)	Shaikh Salim	Percy Z. Cox (Political Resident/Chief Political Officer, Basrah)	Ruler Death	EN	Political Agent's letter to Cox detailing Shaikh Salim's succession and his assurances of loyalty.	http://www.qdl.qa/en/archive/81055/vdc_100034858434.0x000010
IOR/R/15/2/1050	145r	27 Apr 1947	Gray, Mackenzie & Co. Ltd. (signed W. Cuntee, Manager)	Dr. Steele	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (complaint)	EN	Gray Mackenzie & Co. complain to Political Agent about high quarantine doctor fees and duties.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	145r	27 Apr 1947	Gray, Mackenzie & Co. Ltd. (signed W. Cuntee, Manager)	Gray, Mackenzie & Co.	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (complaint)	EN	Gray Mackenzie & Co. complain to Political Agent about high quarantine doctor fees and duties.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	146r	27 Apr 1947	M.L.A. Steele (Quarantine Medical Officer)	Dr. Steele	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (rebuttal)	EN	Quarantine Medical Officer defends his charges and control procedures at Sitra.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	146r	27 Apr 1947	M.L.A. Steele (Quarantine Medical Officer)	Gray, Mackenzie & Co.	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (rebuttal)	EN	Quarantine Medical Officer defends his charges and control procedures at Sitra.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	147r	27 April 1947	M.L.A. Steele (Quarantine Medical Officer)	Dr. Steele	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (rebuttal)	EN	QMO's further defense of fees; notes masters misuse the service for trivial cases.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	147r	27 April 1947	M.L.A. Steele (Quarantine Medical Officer)	Gray, Mackenzie & Co.	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (rebuttal)	EN	QMO's further defense of fees; notes masters misuse the service for trivial cases.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	148r	27 April 1947	M.L.A. Steele (Quarantine Medical Officer)	Dr. Steele	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (activity log)	EN	Log of QMO's callouts, showing many are unnecessary or involve significant delays.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1050	148r	27 April 1947	M.L.A. Steele (Quarantine Medical Officer)	Gray, Mackenzie & Co.	Adviser to the Government, Bahrain [addressee not fully confirmed]	Epidemic (activity log)	EN	Log of QMO's callouts, showing many are unnecessary or involve significant delays.	http://www.qdl.qa/en/archive/81055/vdc_100026187124.0x00005a
IOR/R/15/2/1585	8r	29 June 1947	C.J. Pelly (Political Agent, Bahrain)	Father Gabriel Fleming	Fleming, 13 Gartongrove, Leeds	British Death	EN	Telegram to Fleming family about Father Gabriel's death in a truck accident and his burial in Bahrain.	http://www.qdl.qa/en/archive/81055/vdc_100035873715.0x000010
IOR/R/15/2/1585	11r	30 Jun 1947	C.J. Pelly (Political Agent, Bahrain)	Father Gabriel Fleming	Fleming, 13 Gartongrove, Leeds	British Death	EN	Personal letter from Pelly to Miss Fleming expressing deep condolences and describing the funeral.	http://www.qdl.qa/en/archive/81055/vdc_100035873715.0x000016
IOR/R/15/2/1585	22r	17 Jul 1947	E.M. Luidens, American Mission, Bahrain	Father Gabriel Fleming	C.J. Pelly (Political Agent, Bahrain)	British Death	EN	American Mission asks Pelly for Father Gabriel's sisters' addresses and a burial certificate.	http://www.qdl.qa/en/archive/81055/vdc_100035873715.0x00002c
IOR/R/15/2/1585	23r	27 July 1947	C.J. Pelly (Political Agent, Bahrain)	Father Gabriel Fleming	E.M. Luidens, American Mission, Bahrain	British Death	EN	Pelly's reply: gives sister's address; notes new Father Anselm is arriving.	http://www.qdl.qa/en/archive/81055/vdc_100035873715.0x00002e
IOR/R/15/2/1733	1r	4 September 1944	W.P. Anderson, Chief Local Representative, BAPCO	Mohammed bin Haji	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death	EN	BAPCO reports Mohammed bin Haji died of typhoid; sends Rs.15-14-0 unclaimed wages to Agent for heirs.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x000004
IOR/R/15/2/1733	27r	4 February 1946	Nassir bin Awadh	Abdullah bin Nassir al Awadh	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death (petition)	EN	Translation of letter from Nassir bin Awadh claiming compensation for son who died due to pipe fall.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x000038
IOR/R/15/2/1733	38r	10 December 1946	R.M. Brown, Chief Local Representative, BAPCO	Abbas bin Habib	Charles Dalrymple Belgrave (Adviser to Bahrain Government)	Worker Death	EN	BAPCO asks Adviser to confirm death of Abbas bin Habib for death benefit; mentions Muharram ceremonies.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00004e
IOR/R/15/2/1733	13r	11 January 1945	W.P. Anderson, Chief Local Representative, BAPCO	A. Rahim Ali Baz	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death	EN	BAPCO reports A. Rahim Ali Baz died of dysentery; requests instructions for Rs.14 wages.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00001c
IOR/R/15/2/1733	14r	11 Jan 1945	W.P. Anderson, Chief Local Representative, BAPCO	A. Rahim Ali Baz	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death	EN	Political Agent instructs BAPCO to send wages to Indian Assistant's Court for legal heir.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00001c
IOR/R/15/2/1733	15r	11 Jan 1945	W.P. Anderson, Chief Local Representative, BAPCO	A. Rahim Ali Baz	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death	EN	BAPCO corrects wage amount for A. Rahim Ali Baz to Rs.18-10-0 and sends cheque.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00001c
IOR/R/15/2/1733	16r	11 Jan 1945	P.W. Harrison, M.D. (American Mission Hospital)	A. Rahim Ali Baz	[enclosed medical certificate within the 13r-17r case]	Death certificate (enclosure)	EN	Death certificate for Abdur Rahim bin Ali, died of severe dysentery.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00001c
IOR/R/15/2/1733	17r	11 Jan 1945	W.P. Anderson, Chief Local Representative, BAPCO	A. Rahim Ali Baz	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death	EN	Duplicate of corrected wage letter for A. Rahim Ali Baz.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00001c
IOR/R/15/2/1733	19r	28 Jan 1945	W.P. Anderson, Chief Local Representative, BAPCO	Ali bin Ahmed	Major Tom Hickinbotham (Political Agent, Bahrain)	Worker Death	EN	BAPCO reports Ali bin Ahmed (Qatari) died of TB/dysentery; holds Rs.1-14-0 wages.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x000028
IOR/R/15/2/1733	60r	20 May / 2 June 1947	Superintendent, State Police, Bahrain (report) — forwarded by the Adviser to the Government	Salim bin Saeed	H.B.M's Political Agent, Bahrain	Worker Death (two-part: report + forwarding note)	EN	State Police report unable to trace Mohamed bin Saeed, brother of deceased Salim bin Saeed.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00007a
IOR/R/15/2/1733	61r	1 Jun 1947	R.M. Brown, Chief Local Representative, BAPCO	Amer bin Saad	Lieutenant-Colonel Arnold Crawshaw Galloway (Political Agent, Bahrain)	Worker Death	EN	BAPCO reports Amer bin Saad (Muscati) died from lorry fall; holds Rs.22-12-0 wages; brother is next-of-kin.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00007c
IOR/R/15/2/1733	65r	1 Jun 1947	R.M. Brown, Chief Local Representative, BAPCO	Amer bin Saad	Lieutenant-Colonel Arnold Crawshaw Galloway (Political Agent, Bahrain)	Worker Death	EN	Duplicate of the Amer bin Saad death report.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x00007c
IOR/R/15/2/1733	57r	24 Mar 1947	R.M. Brown, Chief Local Representative, BAPCO	Hassan bin Abdulla	Charles Dalrymple Belgrave (Adviser to the Government, Bahrain)	Worker Death	EN	BAPCO reports Hassan bin Abdulla died in pitch-pond accident; provides detailed rescue attempt summary.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x000074
IOR/R/15/2/1733	58r	24 March 1947	R.M. Brown, Chief Local Representative, BAPCO	Hassan bin Abdulla	Charles Dalrymple Belgrave (Adviser to the Government, Bahrain)	Worker Death	EN	Continuation of pitch-pond accident; Company stresses trespassing caused it and absolves itself.	http://www.qdl.qa/en/archive/81055/vdc_100023546685.0x000074
IOR/R/15/2/56	23r	14 February 1914	Major Arthur Prescott Trevor (Political Agent, Bahrain)	John Gordon Lorimer	Political Agency in Bahrain	Diary entry	EN	Bahrain news reports sad death of Mr. J.G. Lorimer; flags half-mast; communities express condolence.	https://www.qdl.qa/en/archive/81055/vdc_100023445441.0x00003d
IOR/R/15/2/56	24r	14 February 1914	Major Arthur Prescott Trevor (Political Agent, Bahrain)	John Gordon Lorimer	Political Agency in Bahrain	Diary entry	EN	Continuation of Lorimer death; Shaikhs and American Mission offer condolences; shares and Katif visit.	https://www.qdl.qa/en/archive/81055/vdc_100023445441.0x00003d
